,date,fromStart,infectionRateCI90,testPositivityRatio,caseDensity,weeklyNewCasesPer100k,infectionRate,FoxPolarity,VoxPolarity
270,2020-12-14,278,0.1,0.119,61.8,432.7,1.01,0.3912219178082191,0.5407157894736843
271,2020-12-15,279,0.1,0.12,62.4,436.8,1.0,0.3501584415584415,0.4168894736842105
272,2020-12-16,280,0.1,0.12,63.7,445.6,1.0,0.2351751937984496,0.4186071428571428
273,2020-12-17,281,0.1,0.12,64.3,449.8,0.99,0.2591710843373493,0.4787333333333333
274,2020-12-18,282,0.1,0.121,65.9,461.3,0.99,0.2549915322580645,0.5690833333333333
275,2020-12-19,283,0.1,0.12,65.3,457.2,0.99,0.3456117647058824,0.8333181818181817
276,2020-12-20,284,0.1,0.119,65.1,455.9,0.99,0.3185736170212766,0.99488
277,2020-12-21,285,0.1,0.119,65.2,456.1,0.99,0.2454875,0.9687466666666666
278,2020-12-22,286,0.1,0.118,65.1,455.7,0.99,0.3610685534591195,0.9602655172413792
279,2020-12-23,287,0.1,0.118,64.4,450.5,1.0,0.4287685258964143,0.8720368421052631
280,2020-12-24,288,0.1,0.117,62.5,437.2,1.01,0.4010031818181818,0.4918166666666666
281,2020-12-25,289,0.1,0.119,56.0,391.9,1.01,0.3113680365296803,-0.1438666666666667
282,2020-12-26,290,0.1,0.122,57.0,398.8,1.02,0.4957671361502347,0.9789
283,2020-12-27,291,0.1,0.125,55.8,390.4,1.03,0.1559554502369668,0.9963
284,2020-12-28,292,0.1,0.129,55.2,386.6,1.04,0.2618777777777777,0.7800333333333334
285,2020-12-29,293,0.1,0.135,55.2,386.5,1.04,0.2650170616113744,0.7754
286,2020-12-30,294,0.1,0.141,55.3,386.8,1.05,0.357784350132626,0.3716875
287,2020-12-31,295,0.1,0.147,56.9,398.1,1.05,0.278014847161572,0.16418
288,2021-01-01,296,0.1,0.149,58.9,412.1,1.05,0.0576236363636363,0.4784
